Shop,Monday,Saturday,Sunday,Cuisine,Location,WaitingTime,Tuesday,Wednesday,Thursday,Friday,Wkdays
McDonalds,7:00-24:00,10:00-22:00,10:00-22:00,Fast Food,North Spine Food Court Level 1,4,7:00-24:00,7:00-24:00,7:00-24:00,7:00-24:00,7:00-24:00
Mr.Bean,7:30-20:30,7:30-17:00,Closed,Fast Food,North Spine Plaza,2,7:30-20:30,7:30-20:30,7:30-20:30,7:30-20:30,7:30-20:30
Subway,8:00-21:00,11:00-18:00,11:00-18:00,Fast Food,North Spine Food Court Level 1,3,8:00-21:00,8:00-21:00,8:00-21:00,8:00-21:00,8:00-21:00
BakeryCuisine,7:00-21:00,9:00-19:00,9:00-19:00,Cakes and Pasteries,North Spine Plaza,3,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
MalaHotPot,7:00-21:00,7:00-15:00,Closed,Mala noodles,North Spine Food Court Level 1,2,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
Italian,7:00-21:00,7:00-15:00,Closed,Italian,North Spine Food Court Level 1,2,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
Salad,7:00-21:00,7:00-15:00,Closed,Continental,North Spine Food Court Level 1,1.5,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
FruitJuice,7:00-21:00,7:00-15:00,Closed,Juices and shakes,North Spine Food Court Level 1,1,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
ChickenRice,7:00-21:00,7:00-15:00,Closed,Singaporean,North Spine Food Court Level 1,1,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
Indian,7:00-21:00,7:00-15:00,Closed,Indian,North Spine Food Court Level 1,2,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00,7:00-21:00
